jobkat	gender	minority	educ	child	jobtime	salbegin	salary
Custodial	Female	0	1	2	86	13500	21600
Clerical	Female	1	3	2	86	15000	29850
Manager	Male	0	3	1	86	23250	45625
Clerical	Male	0	3	1	86	19500	52650
Clerical	Male	1	2	1	86	15000	26550
Clerical	Male	1	2	1	86	13500	26700
Manager	Male	0	3	0	86	30000	81250
Manager	Male	0	3	0	86	47490	66000
Clerical	Male	0	3	0	86	18600	31050
Clerical	Male	0	3	0	86	14250	31200
Clerical	Female	0	3	0	86	16500	29400
Clerical	Female	0	2	0	86	14750	21900
Clerical	Female	0	2	0	86	14750	18150
Clerical	Male	1	3	1	86	15000	36000
Clerical	Male	0	3	NA	86	15000	30900
Custodial	Male	0	1	2	85	15600	26250
Clerical	Female	1	2	2	85	10200	27450
Custodial	Male	0	4	1	85	31250	90625
Clerical	Female	0	3	1	85	17250	35700
Clerical	Female	0	2	1	85	16500	28500
Clerical	Female	1	2	1	85	12750	24000
Clerical	Female	1	2	1	85	10200	18450
Custodial	Male	0	4	0	85	42480	69250
Custodial	Male	0	1	1	85	15000	31950
Clerical	Female	0	3	0	85	12750	22350
Clerical	Male	0	3	0	85	16500	35100
Clerical	Female	0	2	0	85	10200	17100
Custodial	Female	0	1	0	85	13500	21600
Clerical	Female	1	2	3	84	12000	24750
Clerical	Female	1	3	3	84	15750	27150
Clerical	Female	1	2	3	84	12750	26400
Clerical	Female	1	3	3	84	12000	23100
Clerical	Male	0	3	2	84	20400	37500
Clerical	Female	0	2	2	84	10200	16500
Custodial	Male	0	1	1	84	15000	30750
Clerical	Male	0	3	1	84	15750	39300
Clerical	Male	0	3	1	84	15000	38850
Clerical	Female	0	2	1	84	18750	34500
Clerical	Female	0	2	1	84	19980	36000
Custodial	Female	0	1	1	84	16500	29100
Clerical	Male	1	2	1	84	12750	19650
Manager	Male	0	3	0	84	21750	58750
Clerical	Female	0	3	0	84	13500	26400
Clerical	Female	1	2	4	83	11100	19200
Clerical	Female	1	2	3	83	10950	20400
Manager	Male	0	3	2	83	52500	66750
Custodial	Male	1	1	2	83	15000	30750
Clerical	Male	0	2	2	83	19500	29340
Clerical	Male	0	3	2	83	17250	27300
Clerical	Male	1	3	2	83	15000	28950
Manager	Male	0	3	1	83	25000	56550
Manager	Male	0	3	1	83	25500	54900
Manager	Male	0	4	1	83	43500	70875
Manager	Male	0	3	1	83	34980	67500
Clerical	Female	0	3	1	83	19500	33900
Clerical	Male	0	3	1	83	16500	39600
Clerical	Male	0	3	1	83	16500	33150
Custodial	Female	0	1	1	83	10200	19800
Manager	Male	0	3	0	83	21750	48000
Manager	Male	0	3	0	83	27480	51250
Custodial	Male	0	2	0	83	15000	33750
Clerical	Male	0	2	0	83	15000	29100
Clerical	Female	0	2	0	83	11250	24000
Clerical	Male	1	3	1	83	16500	30600
Clerical	Male	1	3	0	83	16500	38400
Clerical	Male	0	3	3	82	27750	34620
Clerical	Female	0	2	3	82	13800	24000
Custodial	Female	0	1	2	82	10200	22350
Clerical	Female	0	2	2	82	10200	16200
Clerical	Male	1	3	2	82	15000	22500
Clerical	Male	0	3	1	82	17100	25950
Clerical	Female	0	3	1	82	19500	27750
Clerical	Female	0	3	1	82	12750	21900
Clerical	Female	0	3	1	82	15750	23250
Clerical	Female	0	2	1	82	12000	33900
Clerical	Female	0	3	1	82	14250	25650
Clerical	Male	0	3	0	82	19750	31650
Clerical	Male	0	3	0	82	15750	80000
Clerical	Male	0	2	0	82	15750	29850
Clerical	Male	0	3	NA	82	15750	30150
Clerical	Female	0	2	3	81	11250	22650
Clerical	Male	1	2	3	81	11400	25500
Clerical	Female	1	1	3	81	10200	17100
Manager	Female	0	3	2	81	18750	54375
Clerical	Male	0	3	2	81	15750	27450
Clerical	Female	0	2	2	81	11225	27750
Clerical	Female	0	1	2	81	10950	22500
Clerical	Female	0	2	2	81	11250	24900
Clerical	Female	0	2	2	81	12000	25500
Clerical	Female	0	2	2	81	11250	23100
Manager	Male	0	3	1	81	21000	40200
Manager	Male	0	4	1	81	33750	55500
Clerical	Female	0	2	1	81	11250	27300
Clerical	Female	0	1	1	81	10200	17400
Clerical	Female	0	2	1	81	18000	40800
Clerical	Female	0	2	1	81	15950	22050
Clerical	Female	0	3	1	81	12750	28200
Custodial	Male	0	4	0	81	31500	75000
Clerical	Male	0	3	0	81	15000	26550
Clerical	Male	0	3	0	81	19500	50550
Clerical	Female	0	1	0	81	12000	27450
Clerical	Female	0	2	0	81	10950	23100
Clerical	Female	0	2	0	81	14550	26700
Clerical	Female	0	2	0	81	10950	19650
Clerical	Male	0	2	3	80	11250	19950
Clerical	Female	0	2	2	80	10950	18150
Manager	Male	0	4	1	80	27480	52125
Custodial	Male	0	4	1	80	36750	61875
Clerical	Female	0	2	1	80	11250	23400
Clerical	Female	0	2	1	80	10950	24300
Manager	Male	0	3	0	80	32490	68125
Custodial	Male	0	2	0	80	15750	30600
Clerical	Male	0	3	0	80	14100	33450
Clerical	Male	0	3	0	80	16500	30300
Clerical	Male	0	1	0	80	11550	21300
Clerical	Female	0	2	0	80	11250	19650
Clerical	Female	0	2	0	80	11250	22350
Clerical	Female	0	2	0	80	11250	28500
Clerical	Female	0	2	0	80	11250	23400
Clerical	Female	0	3	0	80	17250	34500
Clerical	Male	1	2	2	80	15000	22350
Manager	Male	0	3	3	79	21750	83750
Custodial	Male	0	2	3	79	15750	30000
Clerical	Female	0	2	3	79	12000	24450
Custodial	Male	1	1	2	79	15750	34500
Clerical	Male	0	3	1	79	18000	28650
Clerical	Male	0	3	1	79	31980	66875
Clerical	Female	0	2	1	79	10950	24750
Manager	Male	0	3	0	79	21000	56500
Manager	Female	0	3	0	79	17490	43000
Clerical	Male	0	3	0	79	17250	40200
Clerical	Male	0	3	0	79	16500	27750
Clerical	Male	0	1	0	79	12000	20850
Clerical	Male	1	2	2	79	15000	27900
Clerical	Female	1	3	3	78	13500	25800
Manager	Male	0	3	2	78	30750	65000
Custodial	Male	1	2	2	78	15750	35250
Clerical	Male	0	3	2	78	14250	25050
Manager	Male	0	3	1	78	23730	38700
Custodial	Male	0	1	1	78	15750	30750
Custodial	Male	0	2	1	78	15750	35250
Clerical	Male	0	2	1	78	15000	25950
Clerical	Male	0	2	1	78	12750	26700
Clerical	Male	0	1	1	78	15750	24000
Clerical	Female	0	2	1	78	15300	23400
Clerical	Male	0	2	1	78	13500	24600
Clerical	Female	0	3	1	78	18000	32550
Clerical	Male	1	3	1	78	15000	26550
Clerical	Male	1	2	1	78	13500	31500
Custodial	Male	1	1	1	78	15000	22350
Custodial	Male	0	4	0	78	32010	68125
Manager	Male	0	4	0	78	33000	73500
Manager	Male	0	3	0	78	25500	40050
Manager	Male	0	3	0	78	36240	51450
Clerical	Male	0	3	0	78	19500	40350
Clerical	Male	0	2	1	78	15000	26850
Custodial	Male	0	2	3	77	15750	30750
Clerical	Male	1	3	3	77	15000	27750
Clerical	Male	1	2	2	77	11550	27750
Clerical	Male	0	3	1	77	18000	34500
Clerical	Male	0	3	1	77	21240	44875
Clerical	Female	0	2	1	77	12000	22500
Clerical	Female	0	2	1	77	14250	25650
Clerical	Female	0	2	1	77	15250	21300
Clerical	Female	0	2	1	77	13500	29850
Clerical	Female	0	2	1	77	12150	34500
Manager	Male	0	3	0	77	32490	50000
Clerical	Male	0	3	0	77	16500	30750
Clerical	Male	0	3	0	77	15750	26250
Clerical	Male	0	2	3	76	14250	22500
Custodial	Male	1	1	2	76	15750	29550
Clerical	Male	0	2	2	76	15000	22050
Clerical	Female	0	2	2	76	12000	22050
Clerical	Female	0	1	2	76	12750	24150
Clerical	Female	0	2	1	76	15000	29160
Custodial	Female	0	1	1	76	10200	16800
Clerical	Male	1	2	1	76	13500	29100
Clerical	Male	1	2	1	76	15750	26700
Manager	Male	0	3	0	76	21990	48750
Clerical	Male	0	3	0	76	15750	43410
Clerical	Female	0	3	0	76	12000	25500
Clerical	Female	0	3	3	75	18000	37050
Clerical	Female	0	3	2	75	18000	33000
Clerical	Female	1	2	2	75	10950	24450
Manager	Male	0	3	1	75	32490	55000
Custodial	Male	0	4	1	75	28740	61875
Clerical	Male	0	3	1	75	17250	27300
Clerical	Male	1	2	1	75	13050	25200
Manager	Male	0	3	0	75	34980	62500
Custodial	Male	0	4	0	75	34980	55000
Clerical	Female	0	2	0	75	12000	24450
Clerical	Male	0	2	2	74	15000	35550
Custodial	Male	0	1	1	74	15750	31950
Custodial	Female	0	1	1	74	10200	15900
Clerical	Female	0	1	1	74	12450	21750
Manager	Male	0	3	0	74	21240	47250
Manager	Male	0	4	0	74	33000	47550
Manager	Male	1	2	0	74	33750	59400
Clerical	Female	0	2	0	74	11550	26100
Clerical	Female	0	1	0	74	10650	23700
Clerical	Female	1	2	2	74	14250	24450
Custodial	Male	1	2	3	73	15750	31200
Clerical	Female	0	3	3	73	13950	22950
Manager	Female	0	3	2	73	30000	56750
Clerical	Female	1	2	2	73	11250	20550
Manager	Male	0	3	1	73	60000	103500
Clerical	Male	0	2	1	73	16500	35700
Clerical	Female	0	2	1	73	13500	27900
Clerical	Female	0	1	1	73	12000	21150
Clerical	Female	0	2	0	73	16500	22200
Clerical	Male	0	2	0	73	12000	23100
Clerical	Female	0	3	0	73	17750	29100
Clerical	Female	0	2	0	73	15750	37650
Clerical	Female	1	2	3	72	10200	17400
Clerical	Male	0	2	2	72	14100	24150
Clerical	Male	0	3	2	72	15000	28350
Clerical	Female	0	2	1	72	10200	17250
Clerical	Male	0	3	1	72	17250	25950
Clerical	Female	0	2	1	72	10200	19950
Clerical	Female	0	2	1	72	13950	28800
Clerical	Female	1	1	1	72	10200	21450
Clerical	Female	1	2	1	72	10200	16950
Clerical	Female	1	2	1	72	13500	26100
Clerical	Male	0	2	0	72	15000	25350
Custodial	Female	0	1	0	72	10200	17700
Clerical	Female	0	3	0	72	13500	23550
Clerical	Male	1	3	1	72	18000	35700
Clerical	Female	0	2	NA	72	15300	29400
Manager	Female	0	3	1	71	28000	58125
Clerical	Male	0	2	1	71	15000	28050
Clerical	Female	0	3	1	71	18000	36600
Clerical	Female	1	2	4	70	13050	20850
Clerical	Male	0	2	3	70	16500	22500
Clerical	Male	0	2	3	70	14700	27450
Clerical	Male	0	3	2	70	15750	25350
Manager	Male	1	3	1	70	28740	78500
Clerical	Male	0	3	1	70	15750	29400
Clerical	Female	0	2	1	70	13500	21000
Clerical	Male	0	3	0	70	15750	21300
Clerical	Male	0	3	0	70	15750	29850
Custodial	Female	0	1	1	70	10200	15750
Clerical	Female	0	1	0	70	13050	19650
Clerical	Male	1	3	0	70	18000	27000
Clerical	Male	1	2	0	70	15750	24000
Clerical	Female	1	2	3	69	15000	24300
Custodial	Male	0	1	2	69	15750	28500
Clerical	Male	0	2	2	69	16500	30150
Custodial	Female	0	1	2	69	12450	29100
Clerical	Female	0	2	2	69	12750	23850
Clerical	Female	1	2	2	69	13950	19650
Custodial	Male	0	2	1	69	15750	30000
Clerical	Male	0	2	1	69	16500	33900
Clerical	Female	0	2	1	69	12450	24450
Clerical	Female	0	2	1	69	12000	21600
Clerical	Female	0	2	1	69	12450	27900
Clerical	Female	0	2	1	69	11250	20850
Clerical	Male	0	2	1	69	12300	22950
Clerical	Female	0	2	1	69	11250	20400
Clerical	Male	0	2	1	69	11250	22800
Clerical	Female	0	2	1	69	11250	20700
Clerical	Female	1	2	1	69	11250	21300
Custodial	Male	0	4	0	69	31980	65000
Manager	Male	0	4	0	69	32490	66875
Clerical	Female	0	3	0	69	13500	24150
Clerical	Female	0	2	0	69	11250	22650
Clerical	Female	0	2	0	69	12450	30600
Clerical	Male	0	3	3	68	15750	30300
Custodial	Male	1	1	2	68	15750	30300
Clerical	Female	1	3	2	68	14250	27750
Clerical	Female	1	3	2	68	15750	31950
Manager	Male	0	3	1	68	32490	60000
Manager	Male	0	4	1	68	33000	61250
Manager	Female	0	3	1	68	29500	43500
Custodial	Female	0	1	1	68	13750	25200
Clerical	Female	0	2	1	68	10200	16200
Clerical	Male	1	1	1	68	12000	28350
Clerical	Male	0	4	0	68	15500	36000
Clerical	Female	0	2	0	68	11250	22800
Custodial	Male	1	1	3	67	15750	30000
Clerical	Male	0	3	2	67	16500	27150
Clerical	Male	1	3	2	67	17490	33300
Manager	Male	0	4	1	67	35040	70000
Custodial	Male	1	4	1	67	34980	66250
Clerical	Male	0	3	1	67	15750	31200
Clerical	Female	0	2	1	67	13800	22200
Clerical	Female	0	3	1	67	11100	31350
Clerical	Female	0	2	1	67	13500	20850
Clerical	Male	0	3	0	67	13500	35250
Clerical	Male	0	3	0	67	15000	37800
Clerical	Male	0	3	0	67	16500	29400
Clerical	Male	0	3	0	67	15750	33900
Clerical	Female	1	3	NA	67	15750	31950
Manager	Male	0	3	3	66	35000	86250
Clerical	Female	0	2	3	66	15500	29700
Clerical	Female	0	2	3	66	15750	24450
Clerical	Male	1	3	3	66	16500	28050
Clerical	Male	0	3	2	66	18250	34950
Custodial	Male	0	1	2	66	16050	26250
Clerical	Female	0	3	2	66	13500	23850
Clerical	Male	1	3	2	66	20550	49000
Manager	Male	1	3	1	66	34100	100000
Clerical	Male	0	2	1	66	15000	30750
Clerical	Male	0	2	1	66	15750	33540
Clerical	Male	0	3	1	66	16500	40350
Clerical	Male	0	3	1	66	15000	32400
Clerical	Female	0	2	1	66	11250	20400
Clerical	Female	1	2	1	66	10200	16350
Clerical	Male	0	2	1	66	15750	30270
Clerical	Female	0	2	2	65	11250	21750
Clerical	Female	0	3	2	65	14250	20700
Manager	Male	0	3	1	65	21750	70000
Manager	Male	0	3	1	65	19500	43650
Clerical	Male	0	3	1	65	14250	28500
Clerical	Male	0	3	1	65	14250	31650
Clerical	Female	0	2	1	65	12750	22500
Custodial	Male	0	4	0	65	42510	75000
Manager	Female	0	3	0	65	19500	34410
Clerical	Male	0	2	0	65	18000	28800
Clerical	Male	0	3	0	65	15750	24450
Clerical	Female	0	3	2	64	15500	32850
Clerical	Male	1	2	2	64	15750	26250
Manager	Female	0	3	1	64	19980	55750
Clerical	Male	0	2	1	64	16500	33900
Clerical	Female	0	2	1	64	13500	23400
Clerical	Female	0	3	1	64	13950	25200
Clerical	Female	1	3	1	64	15750	26400
Clerical	Male	0	3	1	63	15750	39150
Clerical	Female	0	2	1	63	12750	21450
Clerical	Female	0	2	1	63	14250	29400
Clerical	Female	1	2	1	62	12000	24750
